course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
"Governmental Environment (online, self-paced)",AGA,https://cgfm.learnupon.com/store/2300-cgfm-course-1-governmental-environment-sections-i-vii-bundle?is_bundle=1,,,Digital Collaboration,"1,2",Integrity and Honesty,"1,2,3,4,5","Budget Concepts, Policies and Principles","1,2,3","Budget Formulation, Justification, and Presentation","1,2,3",Enterprise Perspective,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Skills for Non-Supervisors (ADMB7006),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ADMB7006,,,Flexibility,1,Interpersonal Skills,1,Oral Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Multiple Priorities (ADMB7007),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ADMB7007,,,Flexibility,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRM 0100 Human Resource Management Certificate Course - SHRM Certification Preparation,George Mason University,https://masoncpe.gmu.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=78345,,,Human Capital Management,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0410 Engaging and Succeeding in Negotiations,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409509,,,Influencing and Negotiating,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0412 Engaging and Succeeding in Negotiations for Women,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409507,,,Influencing and Negotiating,"1,2,3",Leveraging Diversity,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem solving (ADMB8129),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ADMB8129,,,Innovative Thinking,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology and Transformation Summit (TTS),AGA,https://www.agacgfm.org/Events/TTS/Home.aspx,,,Innovative Thinking,"1,2,3",Technology Proficiency,"1,2,3",Robotic Process Automation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Making and Problem Solving (MGMT8102),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT8102,,,Innovative Thinking,"2,3,4",Problem Solving,2,Decision Support,2,Decision Support - Audit Execution,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting Basics for Administrative Personnel (ACQI7502),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7502,,,Integrity and Honesty,"1,2",Influencing and Negotiating,3,Problem Solving,3,Contract Management,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracting Basics for CORs (ACQI7503),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7503,,,Integrity and Honesty,"1,2",Influencing and Negotiating,3,Contract Management,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaping Smart Business Arrangements (ACQI7501),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7501,,,Integrity and Honesty,"1,2",Team Building,3,Contract Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Conduct for Executive Branch Employees (course 2.2),AGA,https://aga.learnupon.com/store/2966178-ethical-conduct-for-executive-branch-employees-course-2-2,,,Integrity and Honesty,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics and Conduct Requirements for Accounting and Auditing Professionals,AGA,https://www.agacgfm.org/Training/GroupTraining/CourseDetails.aspx?ID=23,,,Integrity and Honesty,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webinar - Ethics,AGA,https://www.agacgfm.org/Training/Webinars.aspx,,,Integrity and Honesty,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced COR Workshop (ACQI9008),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI9008,,,Integrity and Honesty,3,Accountability,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Decision Making for Auditors/Leaders (AUDT9030),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT9030,,,Integrity and Honesty,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Contracting: Ethics Compliance and Enforcement (ACQI7023),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7023,,,Integrity and Honesty,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assertiveness Skills (COMM7001),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7001,,,Interpersonal Skills,1,Oral Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briefing Techniques (COMM7002),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7002,,,Interpersonal Skills,1,Oral Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Effective Organizational Relationships: A Supervisor's RX (COMM8210),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM8210,,,Interpersonal Skills,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Effective Organizational Relationships: An Employee's RX (COMM7210),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7210,,,Interpersonal Skills,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotionally Intelligent Leaders (LEAD8007),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/LEAD8007,,,Interpersonal Skills,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Peer to Leader: Successfully Navigating the Transition (MGMT7125),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT7125,,,Interpersonal Skills,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpersonal Communications (COMM7006),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7006,,,Interpersonal Skills,1,Oral Communications,1,Problem Solving,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interviewing Techniques for Auditors (AUDT7012),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7012,,,Interpersonal Skills,"1,2,3,4",Oral Communications,"1,2",Decision Support,1,Decision Support - Audit Execution,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Supervision (SUPV7001),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/SUPV7001,,,Interpersonal Skills,1,Oral Communications,1,Team Building,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0404 Developing Your Professional Self,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409497,,,Interpersonal Skills,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constructive Conflict Resolution (COMM7004),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7004,,,Interpersonal Skills,"2,3,4",Conflict Management,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotionally Intelligent Auditor: The Power of Influence and Situational Awareness (AUDT8911),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8911,,,Interpersonal Skills,"2,3,4",Conflict Management,"2,3,4",Influencing and Negotiating,"2,3,4",Resilience,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspiring Leader Program,Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AspiringLeaderProgram,,,Learning,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Leader Program,Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/NewLeaderProgram,,,Learning,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Leadership Program,Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ExecutiveLeadershipProgram,,,Learning,"3,4",Developing Others,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Potential Program (EPPG8840),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EPPG8840,,,Learning,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity in the Workplace -- Learning How to Work Together,AGA,https://www.agacgfm.org/Training/GroupTraining/CourseDetails.aspx?ID=48,,,Leveraging Diversity,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increasing Personal Effectiveness (COMM7027),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7027,,,Oral Communications,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presentation and Briefing Skills for Auditors (AUDT8522),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8522,,,Oral Communications,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speaking with Confidence (COMM7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7010,,,Oral Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webinar - Communications,AGA,https://www.agacgfm.org/Training/Webinars.aspx,,,Oral Communications,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELA 0606 Communication in Organizations,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=1552676&selectedProgramAreaId=1554098&selectedProgramStreamId=,,,Oral Communications,"1,2,3,4,5",Written Communications,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Writing Through Critical Thinking (WRIT7100),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT7100,,,Problem Solving,1,Written Communications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0406 Problem Solving,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409678,,,Problem Solving,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCCS 0300 Positive Leadership Certificate,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=25470&courseTitle=positive-leadership-certificate-program,,,Resilience,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELA 0425 Strengths-Based Leadership,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=1552734&courseTitle=strengths-based-leadership&selectedProgramAreaId=18214&selectedProgramStreamId=93287,,,Resilience,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Management (MGMT7099),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT7099,,,Team Building,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jump Starting High Performance Teams: The Fundamentals (TDEV7021),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/TDEV7021,,,Team Building,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Communication (MGMT8112),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT8112,,,Team Building,"1,2,3",Oral Communications,4,Written Communications,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webinar - Leadership,AGA,https://www.agacgfm.org/Training/Webinars.aspx,,,Team Building,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0313 Highly Effective Teams,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409715,,,Team Building,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing and Presenting Audit Findings (AUDT7021),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7021,,,Written Communications,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Editing for Impact (EDIT7100),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EDIT7100,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Government Correspondence (WRIT7007),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT7007,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Writing (WRIT7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT7010,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Email Writing (WRIT7041),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT7041,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammar for Professionals (ENGL7005),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ENGL7005,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proofreading (EDIT7001),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EDIT7001,,,Written Communications,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for Results (WRIT7110),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT7110,,,Written Communications,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Written Communication for Auditors (AUDT8611),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8611,,,Written Communications,"1,2,3",Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Writing Skills for Auditors,AGA,https://www.agacgfm.org/Training/GroupTraining/CourseDetails.aspx?ID=22,,,Written Communications,"1,2,3",Audit Planning and Management,"1,2,3,4",Audit Reporting,"1,2,3",Decision Support - Audit Execution,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASAB Overview and Update,AGA,https://www.agacgfm.org/Training/GroupTraining/CourseDetails.aspx?ID=24,,,Accounting Analysis,"1,2,3","Accounting Concepts, Policies and Principles","1,2,3",Financial Reporting,"1,2,3,4",Financial Stewardship,"1,2,3,4",Fundamentals and Operations of Accounting,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Visual Design and Storytelling,Data Society,https://datasociety.meldr.ai/courses/DataScienceLiteracy/DataVisualDesignAndStorytelling,,,Accounting Analysis,"1,2",Decision Support,"2,1",Financial Management Analysis,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrangling in Python,Data Society,https://datasociety.meldr.ai/courses/DataScience/DataWranglingInPython,,,Accounting Analysis,"1,2",Decision Support,1,Financial Management Analysis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrangling in R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/DataWranglingInR,,,Accounting Analysis,"1,2",Decision Support,"1,2",Financial Management Analysis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Data Literacy,Data Society,https://datasociety.meldr.ai/courses/DataScienceLiteracy/FundamentalsOfDataLiteracy,,,Accounting Analysis,"1,2",Decision Support,"1,2",Financial Management Analysis,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Python,Data Society,https://datasociety.meldr.ai/courses/Beginner/IntermediatePython,,,Accounting Analysis,"1,2",Financial Management Analysis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/IntermediateR,,,Accounting Analysis,"1,2",Financial Management Analysis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Excel,Data Society,https://datasociety.meldr.ai/courses/DataSocietyExcel/IntroToExcel,,,Accounting Analysis,"1,2",Decision Support,"2,3",Financial Management Analysis,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Python,Data Society,https://datasociety.meldr.ai/courses/Beginner/IntroToPython,,,Accounting Analysis,"1,2",Financial Management Analysis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/IntroToR,,,Accounting Analysis,"1,2",Financial Management Analysis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to SQL,Data Society,https://datasociety.meldr.ai/courses/SQL/IntroToSQL,,,Accounting Analysis,1,Decision Support,1,Financial Management Analysis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0203 Survey of Accounting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409739,,,Accounting Analysis,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0372 Financial Statement Analysis,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409614,,,Accounting Analysis,"1,2,3",Advanced Financial Management,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
